Test,TestNumber,Display,Trial,TrueValue,Subject,Response
"Veritcal Distance, Aligned",1,1,B,0.6,88,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,89,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,90,0.6
"Veritcal Distance, Aligned",1,1,B,0.6,91,0.55
"Veritcal Distance, Aligned",1,1,B,0.6,92,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,1,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,2,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,3,0.68
"Veritcal Distance, Aligned",1,1,C,0.55,4,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,5,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,6,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,7,0.47
"Veritcal Distance, Aligned",1,1,C,0.55,8,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,9,0.48
"Veritcal Distance, Aligned",1,1,C,0.55,10,0.6
"Veritcal Distance, Aligned",1,1,C,0.55,11,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,12,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,13,0.67
"Veritcal Distance, Aligned",1,1,C,0.55,14,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,15,0.54
"Veritcal Distance, Aligned",1,1,C,0.55,16,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,17,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,18,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,19,0.59
"Veritcal Distance, Aligned",1,1,C,0.55,20,0.65
"Veritcal Distance, Aligned",1,1,C,0.55,21,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,22,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,23,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,24,0.6
"Veritcal Distance, Aligned",1,1,C,0.55,25,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,26,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,27,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,28,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,29,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,30,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,31,0.45
"Veritcal Distance, Aligned",1,1,C,0.55,32,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,33,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,34,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,35,0.48
"Veritcal Distance, Aligned",1,1,C,0.55,36,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,37,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,38,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,39,0.54
"Veritcal Distance, Aligned",1,1,C,0.55,40,0.47
"Veritcal Distance, Aligned",1,1,C,0.55,41,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,42,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,43,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,44,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,45,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,46,0.45
"Veritcal Distance, Aligned",1,1,C,0.55,47,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,48,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,49,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,50,0.6
"Veritcal Distance, Aligned",1,1,C,0.55,51,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,52,0.57
"Veritcal Distance, Aligned",1,1,C,0.55,53,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,54,0.65
"Veritcal Distance, Aligned",1,1,C,0.55,55,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,56,0.66
"Veritcal Distance, Aligned",1,1,C,0.55,57,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,58,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,59,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,60,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,61,0.54
"Veritcal Distance, Aligned",1,1,C,0.55,62,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,63,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,64,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,65,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,66,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,67,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,68,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,69,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,70,0.45
"Veritcal Distance, Aligned",1,1,C,0.55,71,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,72,0.33
"Veritcal Distance, Aligned",1,1,C,0.55,73,0.4
"Veritcal Distance, Aligned",1,1,C,0.55,74,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,75,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,76,0.43
"Veritcal Distance, Aligned",1,1,C,0.55,77,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,78,0.48
"Veritcal Distance, Aligned",1,1,C,0.55,79,0.6
"Veritcal Distance, Aligned",1,1,C,0.55,80,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,81,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,82,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,83,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,84,0.45
"Veritcal Distance, Aligned",1,1,C,0.55,85,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,86,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,87,0.53
"Veritcal Distance, Aligned",1,1,C,0.55,88,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,89,0.55
"Veritcal Distance, Aligned",1,1,C,0.55,90,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,91,0.5
"Veritcal Distance, Aligned",1,1,C,0.55,92,0.4
"Veritcal Distance, Aligned",1,1,D,0.8,1,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,2,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,3,0.95
"Veritcal Distance, Aligned",1,1,D,0.8,4,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,5,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,6,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,7,0.65
"Veritcal Distance, Aligned",1,1,D,0.8,8,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,9,0.72
"Veritcal Distance, Aligned",1,1,D,0.8,10,0.9
"Veritcal Distance, Aligned",1,1,D,0.8,11,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,12,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,13,0.83
"Veritcal Distance, Aligned",1,1,D,0.8,14,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,15,0.7
"Veritcal Distance, Aligned",1,1,D,0.8,16,0.7
"Veritcal Distance, Aligned",1,1,D,0.8,17,0.7
"Veritcal Distance, Aligned",1,1,D,0.8,18,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,19,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,20,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,21,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,22,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,23,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,24,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,25,0.9
"Veritcal Distance, Aligned",1,1,D,0.8,26,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,27,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,28,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,29,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,30,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,31,0.75
"Veritcal Distance, Aligned",1,1,D,0.8,32,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,33,0.9
"Veritcal Distance, Aligned",1,1,D,0.8,34,0.8
"Veritcal Distance, Aligned",1,1,D,0.8,35,0.9
"Veritcal Distance, Aligned",1,1,D,0.8,36,0.85
"Veritcal Distance, Aligned",1,1,D,0.8,37,0.9
