Date,Open,High,Low,Close,Volume,Adj Close
12/1/1993,61.75,63.5,61.5,62.75,85136000,2.96
11/30/1993,60,61.75,59.5,61.5,63641600,2.9
11/29/1993,61.25,61.75,59.75,59.88,58473600,2.82
11/26/1993,60.88,61,60.13,60.25,14734400,2.84
11/24/1993,59.5,60.5,59.25,60,55235200,2.83
11/23/1993,58.25,59.5,58,58.88,62088000,2.77
11/22/1993,56.25,58,56.25,57.5,76011200,2.71
11/19/1993,57.88,58.75,56.5,56.88,97624000,2.68
11/18/1993,59.25,60,57.5,57.88,140396800,2.73
11/17/1993,61.5,61.75,58.5,58.88,90747200,2.77
11/16/1993,60,60.75,58.25,60.5,85782400,2.85
11/15/1993,62.75,62.75,59.75,60,88811200,2.83
11/12/1993,63.75,63.75,62.5,62.75,47713600,2.96
11/11/1993,63.25,64.5,63.25,63.75,51193600,3
11/10/1993,62.5,63.75,62,63.5,95024000,2.99
11/9/1993,60.75,62.25,60.75,61,71232000,2.87
11/8/1993,60.75,61,59.75,60,42608000,2.83
11/5/1993,58.5,61,58.13,60.75,83112000,2.86
11/4/1993,61,61,58,59,128688000,2.78
11/3/1993,62.5,63,60.5,60.88,124995200,2.87
11/2/1993,63.25,63.75,62.5,62.75,55489600,2.96
11/1/1993,63.25,63.75,62.75,63.25,28537600,2.98
10/29/1993,63.5,64.25,62.75,63.25,40308800,2.98
10/28/1993,63,64,62.5,63.5,60920000,2.99
10/27/1993,63.75,65,63.5,64.5,37292800,3.04
10/26/1993,63.25,64.37,62.75,63.75,51344000,3
10/25/1993,64.37,64.75,62.75,63.5,37923200,2.99
10/22/1993,64.75,65.75,63.75,64.25,56268800,3.02
10/21/1993,62.5,64.75,61.75,64.5,61107200,3.04
10/20/1993,62.25,63.5,62.25,62.75,64544000,2.95
10/19/1993,62.75,63.75,61.88,62.25,83560000,2.93
10/18/1993,65.25,65.5,62.75,63,77270400,2.97
10/15/1993,66.25,66.37,64.5,64.75,89185600,3.05
10/14/1993,64,65.25,63.5,64.75,71899200,3.05
10/13/1993,63.5,64.25,61.5,63.5,200088000,2.99
10/12/1993,66,67,64.75,65,212414400,3.06
10/11/1993,70.75,71.5,65.25,65.5,322280000,3.08
10/8/1993,69,70.25,68.12,70.25,82057600,3.31
10/7/1993,69,69,67.37,68.75,105950400,3.24
10/6/1993,70.5,71.5,69.25,69.25,86118400,3.26
10/5/1993,72.25,72.62,68.75,70,142361600,3.29
10/4/1993,71.25,73.87,71,72.75,56750400,3.42
10/1/1993,71.5,73.75,71,73,81172800,3.44
9/30/1993,72.75,72.75,70.5,70.75,68577600,3.33
9/29/1993,73.5,74.25,72.37,73.25,106225600,3.45
9/28/1993,71,72.75,69.75,72.75,68897600,3.42
9/27/1993,69,71.37,69,70.37,62544000,3.31
9/24/1993,68.5,69.5,67.5,68.75,44264000,3.24
9/23/1993,67.62,69,67.25,68.37,56939200,3.22
9/22/1993,65.5,67.75,65.5,67.25,75945600,3.17
9/21/1993,65.25,66.5,63.75,65.25,60798400,3.07
9/20/1993,64.75,66.75,64.25,65.12,54420800,3.07
9/17/1993,63.25,64.75,63,64.25,47414400,3.02
9/16/1993,64.5,64.75,63.75,64,33553600,3.01
9/15/1993,63.5,65,62.75,64.87,90660800,3.05
9/14/1993,63.5,63.88,61.75,63.25,98814400,2.98
9/13/1993,65.25,66,64.75,64.75,30587200,3.05
9/10/1993,65.75,66.75,65,65.5,74587200,3.08
9/9/1993,63.5,65.5,62.5,64.75,82708800,3.05
9/8/1993,61.5,63.25,60.25,63,86782400,2.97
9/7/1993,63,64,61.5,62,35488000,2.92
9/3/1993,62.5,63,62.25,62.75,27585600,2.95
9/2/1993,63,63.5,62.75,63,30043200,2.97
9/1/1993,63.75,64.25,62.75,63.5,45500800,2.99
8/31/1993,64.12,64.5,63.25,64.25,31971200,3.02
8/30/1993,63.5,64.75,63.5,64,29600000,3.01
8/27/1993,63.25,64.25,62.5,63.63,27264000,2.99
8/26/1993,62.25,64,61.25,63.38,54320000,2.98
8/25/1993,63.25,64.25,61.63,62.5,56712000,2.94
8/24/1993,63.63,64.5,63,63.5,65600000,2.99
8/23/1993,63,65.62,61.88,64.25,71700800,3.02
8/20/1993,64,65.75,62.5,63.75,72768000,3
8/19/1993,65.25,65.75,63.38,64,64408000,3.01
8/18/1993,66.25,67.25,65,65.5,99955200,3.08
8/17/1993,63.75,65.75,63.5,65,97726400,3.06
8/16/1993,59.75,64.5,59.5,64.37,175865600,3.03
8/13/1993,58.75,60,58.75,59.75,68516800,2.81
8/12/1993,58.75,59.5,58.25,58.88,79372800,2.77
8/11/1993,58.5,59,58.25,58.75,71593600,2.77
8/10/1993,57.5,58.25,56.75,56.88,48619200,2.68
8/9/1993,57,59.25,56.25,57.75,107350400,2.72
8/6/1993,56.25,57.5,55.88,57.25,82009600,2.69
8/5/1993,55,56,54.75,55.75,61473600,2.62
8/4/1993,53.5,55,53.25,55,59088000,2.59
8/3/1993,53,54.13,52.75,53,34998400,2.49
8/2/1993,52.25,53.5,52.25,52.63,31742400,2.48
7/30/1993,52.25,52.5,51.5,52.25,39956800,2.46
7/29/1993,54,54.25,52.75,53,25841600,2.49
7/28/1993,52.75,53.75,52.5,53.63,25102400,2.52
7/27/1993,53.75,54,51.5,53,72420800,2.49
7/26/1993,51.75,53.75,51.75,52.88,52528000,2.49
7/23/1993,50.75,52.5,50.5,51.75,44576000,2.43
7/22/1993,51.5,51.5,49.25,50,43457600,2.35
7/21/1993,51.5,51.75,50.63,51.13,33388800,2.4
7/20/1993,51.25,52.25,50.75,52,48841600,2.45
7/19/1993,50.25,51.25,49.25,50.88,95104000,2.39
7/16/1993,52.25,52.5,50.25,50.5,99308800,2.37
7/15/1993,53.5,53.75,52.5,52.75,47083200,2.48
7/14/1993,54.5,55,53,53.38,59040000,2.51
7/13/1993,55.5,55.75,53.5,54.5,81499200,2.56
7/12/1993,56.5,57,53,55.63,135345600,2.62
7/9/1993,54.5,56.25,53.75,56,64132800,2.63
7/8/1993,52.88,54.75,52.25,54.75,43812800,2.57
7/7/1993,53,53.25,52,52.63,59035200,2.47
7/6/1993,54.25,55,52.75,53.25,44809600,2.5
7/2/1993,54.25,54.25,53.13,53.88,41417600,2.53
7/1/1993,55,55.25,53.25,54,75560000,2.54
6/30/1993,56.25,56.75,54.5,55,42961600,2.59
6/29/1993,56.75,57.25,56,56.5,57700800,2.66
6/28/1993,54.5,56,54.5,56,45544000,2.63
6/25/1993,53.63,55.25,53.25,54.63,45769600,2.57
6/24/1993,53.75,54.5,52.88,53.75,94376000,2.53
6/23/1993,55.75,55.75,54.5,55,53142400,2.59
6/22/1993,56.25,56.5,55.25,55.5,44508800,2.61
6/21/1993,55.38,56.75,54.75,56.75,40246400,2.67
6/18/1993,56.75,57,55,55.38,61915200,2.6
6/17/1993,56.75,56.75,54.75,56.13,53537600,2.64
6/16/1993,57.5,58,56,56.5,42097600,2.66
6/15/1993,57.25,58.5,56.88,57.75,47724800,2.72
6/14/1993,56.5,57.5,56.25,57.13,32750400,2.69
6/11/1993,55.5,56.75,55,56.5,45609600,2.66
6/10/1993,55,55.25,54.25,54.63,75241600,2.57
6/9/1993,56.75,56.75,55,55.88,81284800,2.63
6/8/1993,58.5,58.5,55.75,56.63,75200000,2.66
6/7/1993,60.13,60.5,57.5,58.13,172667200,2.73
