TRACTFIPS10,Tract ID IHS,City -Suburb,Community Area,Median Household Income ,Median Family Income , Median Gross Rent , Median Home Value ,Share of  Married-Couple family with householder 15to34years,Share of Nonfamily Households15to34years,Share of Householder Aged 15to34 ,Share of Householder Aged 65,Share of households with Social Security Income,Share of households with Retirement Income,Share Family Households,share with Cash Public Assistance or Food Stamps,Below Poverty Level perPopulation,famliyhousehold Single-Parent Households with  children under 18,share of White Alone, share of African American Alone, share ofAsian Alone,Largest Racial Category by Share of Population, share of Hispanic or Latino,share of Households Owner-occupied, share of HouseholdsRenter-occupied,share of owner-occupied  in Single Family, owner-occupied units 24,owner-occupied 5 to 49units,renter-occupiedin Single Family, renter-occupied 2to4units, renter-occupied 5to49units,renter-occupied  in 50+,"Cumulative Foreclosure Filing Activity, 2005","Cumulative Foreclosure Filing Activity, 2006","Cumulative Foreclosure Filing Activity, 2007","Cumulative Foreclosure Filing Activity, 2008","Cumulative Foreclosure Filing Activity, 2009","Cumulative Foreclosure Filing Activity, 2010","Cumulative Foreclosure Filing Activity, 2011","Cumulative Foreclosure Filing Activity, 2012","Mortgage Originations, 2008","Mortgage Originations, 2009","Mortgage Originations, 2010","Mortgage Originations, 2011","Mortgage Originations, 2012","Mortgages per 100 Residential Parcels, 2008","Mortgages per 100 Residential Parcels, 2009","Mortgages per 100 Residential Parcels, 2010","Mortgages per 100 Residential Parcels, 2011","Mortgages per 100 Residential Parcels, 2012",Violent per100 population,Property per100 population,Motor Vehicle Theft per100 population,Other per100 population,Part I Crimesper 100population,LAT,LON
17031160100,1601,Chicago,IRVING PARK,58547,59157,1150,278900,0.057,0.09,0.199,0.213,0.295,0.237,0.75,0.116,0.043,0.088,0.765,0,0.08,White,0.195,0.694,0.306,0.492,0.245,0.263,0.144,0.574,0.282,0,8,16,20,32,53,72,86,99,95,90,72,88,98,14.2,13.4,10.7,13.1,14.6,1.5,2.3,0.5,1.5,3.8,41.9646284,-87.7427951
17031160200,1602,Chicago,IRVING PARK,60781,79138,921,365100,0.088,0.043,0.159,0.155,0.207,0.078,0.645,0.108,0.084,0.119,0.668,0.034,0.084,White,0.229,0.576,0.424,0.797,0.203,0,0.016,0.575,0.409,0,2,7,14,30,54,88,102,117,152,162,132,131,171,15.8,16.8,13.7,13.6,17.8,1.3,2.5,0.8,1.5,3.8,41.9587937,-87.7383999
17031160300,1603,Chicago,IRVING PARK,38485,43846,784,179100,0.055,0.264,0.369,0.152,0.189,0.064,0.358,0.119,0.223,0.145,0.529,0.148,0.101,White,0.248,0.396,0.604,0.159,0.056,0.784,0,0.069,0.816,0.115,4,8,19,49,89,134,170,192,128,109,79,72,133,11.6,9.9,7.2,6.5,12,2.5,3.3,0.9,2.7,5.8,41.9572682,-87.7308958
17031160400,1604,Chicago,IRVING PARK,44813,50000,939,327500,0.088,0.121,0.282,0.144,0.178,0.071,0.611,0.156,0.288,0.174,0.555,0.037,0.048,White,0.458,0.41,0.59,0.568,0.284,0.148,0.08,0.48,0.424,0.016,6,9,22,55,96,134,160,183,203,149,123,108,164,18.1,13.3,10.9,9.6,14.6,1.2,2.8,0.6,2.3,4,41.9573657,-87.7228239
17031160501,1605.01,Chicago,IRVING PARK,37260,43651,1031,330400,0.179,0.127,0.436,0.152,0.152,0.067,0.732,0.14,0.262,0.287,0.456,0.069,0.032,White,0.667,0.38,0.62,0.324,0.518,0.158,0.013,0.584,0.387,0.016,2,4,16,44,81,115,142,157,82,73,54,61,91,11.3,10.1,7.5,8.4,12.6,1.3,2,0.5,1.9,3.3,41.9592098,-87.7129732
17031160502,1605.02,Chicago,IRVING PARK,45439,51250,924,263400,0.175,0.011,0.288,0.144,0.151,0.06,0.727,0.102,0.144,0.154,0.593,0,0.058,White,0.674,0.466,0.534,0.395,0.457,0.138,0.08,0.622,0.298,0,5,11,26,45,73,101,121,134,108,101,84,85,105,13.6,12.7,10.6,10.7,13.2,1.1,1.9,0.6,1.7,3,41.9555841,-87.7130876
17031160601,1606.01,Chicago,IRVING PARK,51393,61548,1041,298900,0.187,0.196,0.446,0.062,0.13,0.041,0.582,0.174,0.132,0.079,0.66,0.005,0.092,White,0.445,0.447,0.553,0.442,0.205,0.353,0.03,0.625,0.346,0,3,15,23,43,66,92,107,118,144,105,96,81,124,17.1,12.5,11.4,9.6,14.7,1,2.8,0.6,1.6,3.8,41.9595316,-87.7021491
17031160602,1606.02,Chicago,IRVING PARK,52353,54375,953,235300,0.099,0.253,0.466,0.059,0.126,0.029,0.511,0.128,0.164,0.198,0.539,0.035,0.109,White,0.487,0.389,0.611,0.477,0.162,0.361,0.067,0.393,0.46,0.079,5,11,15,27,55,96,110,131,172,126,115,102,138,16.5,12.1,11,9.8,13.2,1.3,2.6,0.7,2,3.9,41.956093,-87.7006348
17031160700,1607,Chicago,IRVING PARK,64992,79258,1069,355700,0.088,0.063,0.188,0.216,0.286,0.103,0.674,0.159,0.083,0.135,0.739,0.027,0.091,White,0.49,0.532,0.468,0.632,0.32,0.048,0.177,0.587,0.2,0.036,12,15,29,58,93,128,150,174,147,156,155,131,157,11.4,12.1,12,10.1,12.2,1.7,2.8,0.8,2.3,4.5,41.950419,-87.7019833
17031160800,1608,Chicago,IRVING PARK,48785,59286,1040,290500,0.056,0.171,0.283,0.128,0.175,0.048,0.606,0.047,0.108,0.117,0.672,0.003,0.071,White,0.592,0.467,0.533,0.309,0.556,0.135,0.027,0.76,0.214,0,7,14,29,59,94,130,156,178,136,94,128,106,115,12.7,8.8,11.9,9.9,10.7,1.7,3.1,0.9,2,4.8,41.9502131,-87.7128146
